중요도,CIS담당,구매담당,중분류명,고객약호,자재,내역,생성일,원납기일,변경납기일,총오더수량,환산수량,미납잔량,생산완료요청일,부자재,제조요청여부,현재제조,관리구분,비고,단가,매출
상,전재준,사급,파우더,ABC,9ABC1288210,어퓨과즙팡파스텔블러셔#쿨트럴더블기획(로지/피그코튼OY),2026-03-17,2026-04-27,2026-04-27,1500,3000,1500,~4/24,2026-04-10,O,,중점관리품목,,2145,3217500
상,안세연,홍한슬,겔마스크,FCM,9FCM0037511,포컴퍼니아비브콜라겐겔마스크#수분초젤리(10매)(군납),2026-03-10,2026-05-08,2026-04-30,46900,469000,46900,2026-04-29,,o,비티아이,중점관리품목,막주 출고 몰리지 않도록 전반적으로 당겨 요청,7141,334912900
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0009611,포컴퍼니네이밍플러피파우더블러쉬#토스트(24),2026-03-11,2026-04-29,2026-04-30,3500,3500,3500,2026-04-29,,x,,중점관리품목,,1923,6730500
중,안세연,홍한슬,파우더,FCM,9FCM0073810,포컴퍼니네이밍플러피파우더블러쉬#카야,2026-03-11,2026-04-29,2026-04-29,3000,3000,3000,2026-04-28,,x,,중점관리품목,,1990,5970000
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0014210,포컴퍼니네이밍플러피파우더블러쉬#베이글,2026-03-11,2026-04-29,2026-04-22,31000,31000,31000,2026-04-20,,x,,중점관리품목,,1953,60543000
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0009310,포컴퍼니네이밍플러피파우더블러쉬#헤일로,2026-03-11,2026-04-29,2026-04-22,6000,6000,6000,2026-04-20,,x,,중점관리품목,,1926,11556000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038810,포컴퍼니네이밍레이어드핏쿠션#17Y(리필),2026-03-05,2026-03-31,2026-04-30,500,500,500,2026-04-03,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,2636,1318000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0045010,포컴퍼니네이밍레이어드핏쿠션#19N(리필)[UW],2026-03-05,2026-03-31,2026-04-30,1000,1000,1000,2026-04-03,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,2636,2636000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038911,포컴퍼니네이밍레이어드핏쿠션#21P(리필)[UW],2026-03-05,2026-03-27,2026-04-30,800,800,800,2026-04-29,,o,2026-03-31,중점관리품목,자재 캐파 확보 요청,2636,2108800
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038910,포컴퍼니네이밍레이어드핏쿠션#21Y(리필)[UW],2026-03-05,2026-03-27,2026-04-30,1000,1000,1000,2026-04-29,,o,2026-03-31,중점관리품목,자재 캐파 확보 요청,2636,2636000
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0032110,포컴퍼니네이밍플러피파우더블러쉬#05니제(일본),2026-03-09,2026-04-29,2026-04-29,3000,3000,3000,2026-04-27,,o,2026-04-07,중점관리품목,수출용 일정 준수 필,1990,5970000
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0032311,포컴퍼니네이밍플러피파우더블러쉬#04페이지(일본),2026-03-09,2026-04-29,2026-04-29,3000,3000,3000,2026-04-27,,o,2026-04-07,중점관리품목,수출용 일정 준수 필,1990,5970000
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0028711,포컴퍼니네이밍플러피파우더블러쉬#03서먼(일본),2026-03-09,2026-04-29,2026-04-29,5040,5040,5040,2026-04-27,,o,2026-04-07,중점관리품목,수출용 일정 준수 필,1996,10059840
중,안세연,홍한슬,파우더성형_일반,FCM,9FCM0014211,포컴퍼니네이밍플러피파우더블러쉬#01베이글(일본),2026-03-09,2026-04-29,2026-04-29,3000,3000,3000,2026-04-27,,o,2026-04-07,중점관리품목,수출용 일정 준수 필,2186,6558000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0015410,포컴퍼니네이밍레이어드핏쿠션#21[UW]@,2026-02-09,2026-04-16,2026-04-16,2500,2500,2500,2026-04-15,,o,2026-03-31,중점관리품목,자재 캐파 확보 요청,4145,10362500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0044910,포컴퍼니네이밍레이어드핏쿠션#21P(본품)[UW],2026-02-09,2026-04-16,2026-04-16,2000,2000,2000,2026-04-15,,o,2026-03-31,중점관리품목,자재 캐파 확보 요청,4145,8290000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0020510,포컴퍼니네이밍레이어드핏쿠션#19N[UW],2026-02-09,2026-03-31,2026-04-01,2500,2500,2500,2026-04-06,,o,2026-03-31,중점관리품목,자재 캐파 확보 요청,4145,10362500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0064510,포컴퍼니제로그래비티커버UP쿠션#22N((리필)(UW)),2026-03-13,2026-04-24,2026-04-24,1000,1000,1000,2026-04-23,,x,,중점관리품목,자재 캐파 확보 요청,2824,2824000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0065010,포컴퍼니네이밍제로그래비티커버UP쿠션기획#21P(본품+리필)(UW),2026-03-13,2026-04-24,2026-04-24,1500,3000,1500,2026-04-23,,x,,중점관리품목,자재 캐파 확보 요청,6881,10321500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0064710,포컴퍼니네이밍제로그래비티커버UP쿠션기획#21N(본품+리필)(UW),2026-03-13,2026-04-24,2026-04-24,1500,3000,1500,2026-04-23,,x,,중점관리품목,자재 캐파 확보 요청,6881,10321500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0065110,포컴퍼니네이밍제로그래비티커버UP쿠션기획#19N(본품+리필)(UW),2026-03-13,2026-04-24,2026-04-24,2000,4000,2000,2026-04-23,,x,,중점관리품목,자재 캐파 확보 요청,6881,13762000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0026810,포컴퍼니네이밍레이어드핏쿠션#23Y기획세트[UW],2026-03-13,2026-04-28,2026-04-28,500,1000,500,2026-04-27,,x,,중점관리품목,자재 캐파 확보 요청,6548,3274000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0045110,포컴퍼니네이밍레이어드핏쿠션#23Y(리필)[UW],2026-03-13,2026-04-28,2026-04-28,2000,2000,2000,2026-04-27,,x,,중점관리품목,자재 캐파 확보 요청,2636,5272000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038911,포컴퍼니네이밍레이어드핏쿠션#21P(리필)[UW],2026-03-13,2026-04-28,2026-04-28,3000,3000,3000,2026-04-27,,x,,중점관리품목,자재 캐파 확보 요청,2636,7908000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038910,포컴퍼니네이밍레이어드핏쿠션#21Y(리필)[UW],2026-03-13,2026-04-27,2026-04-27,3500,3500,3500,2026-04-26,,x,,중점관리품목,자재 캐파 확보 요청,2636,9226000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0015410,포컴퍼니네이밍레이어드핏쿠션#21[UW]@,2026-03-13,2026-04-27,2026-04-27,500,500,500,2026-04-26,,x,,중점관리품목,자재 캐파 확보 요청,4145,2072500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0045010,포컴퍼니네이밍레이어드핏쿠션#19N(리필)[UW],2026-03-13,2026-04-23,2026-04-23,4000,4000,4000,2026-04-22,,x,,중점관리품목,자재 캐파 확보 요청,2636,10544000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0020510,포컴퍼니네이밍레이어드핏쿠션#19N[UW],2026-03-13,2026-04-23,2026-04-23,2500,2500,2500,2026-04-22,,x,,중점관리품목,자재 캐파 확보 요청,4145,10362500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038810,포컴퍼니네이밍레이어드핏쿠션#17Y(리필),2026-03-13,2026-04-28,2026-04-28,3000,3000,3000,2026-04-27,,x,,중점관리품목,자재 캐파 확보 요청,2636,7908000
중,안세연,사급,튜브,SLC,9SLC0017111,서린컴퍼니라운드랩독도클렌저150ML(중국수출용),2026-03-17,2026-04-22,2026-04-22,5010,5010,5010,2026-04-21,2026-03-27,o,,중점관리품목,,1130,5661300
중,안세연,사급,기초,SLC,9SLC0012010,서린컴퍼니라운드랩독도토너500ML(중국수출용),2026-03-17,2026-04-16,2026-04-16,10020,10020,10020,2026-04-15,2026-04-03,o,,중점관리품목,,2450,24549000
